default|education|contact|marital|poutcome|housing|loan|month|job|balance|day_of_week|campaign|age|pdays|previous|duration|y
no|secondary|unknown|single|unknown|yes|yes|may|technician|-103|5|1|24|-1|0|145|no
no|tertiary|unknown|single|unknown|no|yes|may|entrepreneur|243|5|1|38|-1|0|174|no
no|tertiary|unknown|single|unknown|yes|no|may|management|424|5|1|38|-1|0|104|no
no|unknown|unknown|married|unknown|yes|no|may|blue-collar|306|5|1|47|-1|0|13|no
no|unknown|unknown|single|unknown|yes|no|may|blue-collar|24|5|1|40|-1|0|185|no
no|primary|unknown|married|unknown|yes|no|may|services|179|5|1|46|-1|0|1778|no
no|tertiary|unknown|married|unknown|yes|no|may|admin.|0|5|1|32|-1|0|138|no
no|secondary|unknown|divorced|unknown|yes|no|may|technician|989|5|1|53|-1|0|812|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|249|5|1|57|-1|0|164|no
no|secondary|unknown|married|unknown|yes|no|may|services|790|5|1|33|-1|0|391|no
no|unknown|unknown|married|unknown|yes|no|may|blue-collar|154|5|1|49|-1|0|357|no
no|tertiary|unknown|married|unknown|yes|no|may|management|6530|5|1|51|-1|0|91|no
no|tertiary|unknown|married|unknown|no|no|may|retired|100|5|1|60|-1|0|528|no
no|tertiary|unknown|divorced|unknown|yes|no|may|management|59|5|1|59|-1|0|273|no
no|secondary|unknown|married|unknown|yes|no|may|technician|1205|5|2|55|-1|0|158|no
no|secondary|unknown|single|unknown|yes|yes|may|blue-collar|12223|5|1|35|-1|0|177|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|5935|5|1|57|-1|0|258|no
no|secondary|unknown|married|unknown|yes|yes|may|services|25|5|1|31|-1|0|172|no
no|secondary|unknown|married|unknown|yes|yes|may|management|282|5|1|54|-1|0|154|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|23|5|1|55|-1|0|291|no
no|secondary|unknown|married|unknown|yes|no|may|technician|1937|5|1|43|-1|0|181|no
no|secondary|unknown|married|unknown|yes|no|may|technician|384|5|1|53|-1|0|176|no
no|secondary|unknown|married|unknown|no|yes|may|blue-collar|582|5|1|44|-1|0|211|no
no|secondary|unknown|divorced|unknown|no|no|may|services|91|5|1|55|-1|0|349|no
no|secondary|unknown|divorced|unknown|yes|yes|may|services|0|5|1|49|-1|0|272|no
yes|secondary|unknown|divorced|unknown|yes|no|may|services|1|5|1|55|-1|0|208|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|206|5|1|45|-1|0|193|no
no|secondary|unknown|divorced|unknown|no|no|may|services|164|5|1|47|-1|0|212|no
no|secondary|unknown|single|unknown|yes|no|may|technician|690|5|1|42|-1|0|20|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|2343|5|1|59|-1|0|1042|yes
no|tertiary|unknown|married|unknown|yes|yes|may|self-employed|137|5|1|46|-1|0|246|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|173|5|2|51|-1|0|529|no
no|secondary|unknown|married|unknown|no|no|may|admin.|45|5|1|56|-1|0|1467|yes
no|secondary|unknown|married|unknown|yes|no|may|technician|1270|5|1|41|-1|0|1389|yes
no|secondary|unknown|divorced|unknown|yes|yes|may|management|16|5|2|46|-1|0|188|no
no|secondary|unknown|married|unknown|yes|no|may|retired|486|5|2|57|-1|0|180|no
no|secondary|unknown|single|unknown|no|no|may|management|50|5|1|42|-1|0|48|no
no|secondary|unknown|married|unknown|yes|yes|may|technician|152|5|2|30|-1|0|213|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|290|5|1|60|-1|0|583|no
no|unknown|unknown|married|unknown|yes|no|may|blue-collar|54|5|1|60|-1|0|221|no
no|secondary|unknown|divorced|unknown|no|no|may|entrepreneur|-37|5|1|57|-1|0|173|no
no|tertiary|unknown|married|unknown|yes|yes|may|management|101|5|1|36|-1|0|426|no
no|secondary|unknown|married|unknown|no|no|may|blue-collar|383|5|1|55|-1|0|287|no
no|tertiary|unknown|married|unknown|yes|no|may|retired|81|5|1|60|-1|0|101|no
no|secondary|unknown|married|unknown|yes|no|may|technician|0|5|1|39|-1|0|203|no
no|tertiary|unknown|married|unknown|yes|no|may|management|229|5|1|46|-1|0|197|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|-674|5|1|44|-1|0|257|no
no|primary|unknown|married|unknown|no|no|may|blue-collar|90|5|1|53|-1|0|124|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|128|5|1|52|-1|0|229|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|179|5|3|59|-1|0|55|no
no|tertiary|unknown|single|unknown|yes|no|may|technician|0|5|1|27|-1|0|400|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|54|5|1|44|-1|0|197|no
no|tertiary|unknown|married|unknown|yes|no|may|technician|151|5|1|47|-1|0|190|no
no|secondary|unknown|married|unknown|no|yes|may|admin.|61|5|1|34|-1|0|21|no
no|secondary|unknown|single|unknown|yes|no|may|retired|30|5|1|59|-1|0|514|no
no|tertiary|unknown|married|unknown|yes|no|may|management|523|5|2|45|-1|0|849|no
no|secondary|unknown|divorced|unknown|yes|no|may|services|31|5|1|29|-1|0|194|no
no|secondary|unknown|divorced|unknown|no|no|may|technician|79|5|1|46|-1|0|144|no
no|primary|unknown|married|unknown|yes|yes|may|self-employed|-34|5|2|56|-1|0|212|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|448|5|1|36|-1|0|286|no
no|primary|unknown|divorced|unknown|yes|no|may|retired|81|5|1|59|-1|0|107|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|144|5|2|44|-1|0|247|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|351|5|1|41|-1|0|518|no
no|tertiary|unknown|single|unknown|yes|no|may|management|-67|5|1|33|-1|0|364|no
no|tertiary|unknown|divorced|unknown|no|no|may|management|262|5|1|59|-1|0|178|no
no|primary|unknown|married|unknown|no|no|may|technician|0|5|1|57|-1|0|98|no
no|unknown|unknown|divorced|unknown|yes|no|may|technician|56|5|1|56|-1|0|439|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|26|5|1|51|-1|0|79|no
no|unknown|unknown|married|unknown|yes|no|may|admin.|3|5|3|34|-1|0|120|no
no|secondary|unknown|married|unknown|yes|yes|may|services|41|5|2|43|-1|0|127|no
no|tertiary|unknown|married|unknown|no|yes|may|technician|7|5|1|52|-1|0|175|no
no|secondary|unknown|single|unknown|yes|no|may|technician|105|5|2|33|-1|0|262|no
no|secondary|unknown|single|unknown|yes|yes|may|admin.|818|5|1|29|-1|0|61|no
no|secondary|unknown|married|unknown|yes|yes|may|services|-16|5|1|34|-1|0|78|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|0|5|1|31|-1|0|143|no
no|secondary|unknown|married|unknown|yes|no|may|services|2476|5|1|55|-1|0|579|yes
no|unknown|unknown|married|unknown|no|no|may|management|1185|5|1|55|-1|0|677|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|217|5|1|32|-1|0|345|no
no|secondary|unknown|single|unknown|yes|no|may|technician|1685|5|1|38|-1|0|185|no
no|secondary|unknown|single|unknown|yes|yes|may|admin.|802|5|2|55|-1|0|100|no
no|tertiary|unknown|single|unknown|yes|no|may|unemployed|0|5|2|28|-1|0|125|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|94|5|1|23|-1|0|193|no
no|secondary|unknown|single|unknown|yes|no|may|technician|0|5|1|32|-1|0|136|no
no|unknown|unknown|single|unknown|no|no|may|services|0|5|1|43|-1|0|73|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|517|5|1|32|-1|0|528|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|265|5|1|46|-1|0|541|no
no|primary|unknown|divorced|unknown|yes|no|may|housemaid|947|5|1|53|-1|0|163|no
no|secondary|unknown|single|unknown|yes|no|may|self-employed|3|5|1|34|-1|0|301|no
no|tertiary|unknown|married|unknown|no|no|may|unemployed|42|5|1|57|-1|0|46|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|37|5|1|37|-1|0|204|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|57|5|1|59|-1|0|98|no
no|secondary|unknown|married|unknown|yes|no|may|services|22|5|1|33|-1|0|71|no
no|primary|unknown|divorced|unknown|yes|no|may|blue-collar|8|5|2|56|-1|0|157|no
no|secondary|unknown|married|unknown|yes|no|may|unemployed|293|5|1|48|-1|0|243|no
no|primary|unknown|married|unknown|yes|no|may|services|3|5|2|43|-1|0|186|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|348|5|2|54|-1|0|579|no
no|unknown|unknown|married|unknown|yes|no|may|blue-collar|-19|5|2|51|-1|0|163|no
no|secondary|unknown|single|unknown|yes|no|may|student|0|5|2|26|-1|0|610|no
no|tertiary|unknown|married|unknown|yes|no|may|management|-4|5|1|40|-1|0|2033|no
no|secondary|unknown|married|unknown|yes|no|may|management|18|5|1|39|-1|0|85|no
no|primary|unknown|married|unknown|no|no|may|technician|139|5|2|50|-1|0|114|no
no|secondary|unknown|married|unknown|yes|no|may|services|0|5|2|41|-1|0|114|no
no|unknown|unknown|married|unknown|yes|no|may|blue-collar|1883|5|1|51|-1|0|57|no
no|secondary|unknown|divorced|unknown|yes|no|may|retired|216|5|1|60|-1|0|238|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|782|5|3|52|-1|0|93|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|904|5|2|48|-1|0|128|no
no|unknown|unknown|married|unknown|yes|no|may|services|1705|5|1|48|-1|0|107|no
no|tertiary|unknown|single|unknown|yes|no|may|technician|47|5|1|39|-1|0|181|no
no|secondary|unknown|single|unknown|yes|no|may|services|176|5|2|47|-1|0|303|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|1225|5|5|40|-1|0|558|no
no|secondary|unknown|married|unknown|yes|no|may|technician|86|5|1|45|-1|0|270|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|82|5|1|26|-1|0|228|no
no|tertiary|unknown|married|unknown|yes|no|may|management|271|5|1|52|-1|0|99|no
no|secondary|unknown|married|unknown|yes|no|may|technician|1378|5|1|54|-1|0|240|no
no|tertiary|unknown|married|unknown|no|no|may|admin.|184|5|2|54|-1|0|673|yes
no|primary|unknown|married|unknown|no|no|may|blue-collar|0|5|3|50|-1|0|233|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|0|5|1|35|-1|0|1056|no
no|secondary|unknown|married|unknown|yes|yes|may|services|1357|5|1|44|-1|0|250|no
no|unknown|unknown|married|unknown|yes|no|may|entrepreneur|19|5|1|53|-1|0|252|no
no|primary|unknown|single|unknown|no|no|may|retired|434|5|1|35|-1|0|138|no
no|secondary|unknown|divorced|unknown|yes|no|may|admin.|92|5|1|60|-1|0|130|no
no|secondary|unknown|divorced|unknown|yes|no|may|admin.|1151|5|1|53|-1|0|412|no
no|secondary|unknown|married|unknown|yes|no|may|unemployed|41|5|2|48|-1|0|179|no
no|secondary|unknown|married|unknown|yes|no|may|technician|51|5|2|34|-1|0|19|no
no|secondary|unknown|married|unknown|yes|no|may|services|214|5|2|54|-1|0|458|no
no|secondary|unknown|married|unknown|yes|no|may|management|1161|5|1|51|-1|0|717|no
no|tertiary|unknown|married|unknown|yes|no|may|services|37|5|1|31|-1|0|313|no
no|secondary|unknown|divorced|unknown|yes|no|may|technician|787|5|2|35|-1|0|683|no
no|secondary|unknown|married|unknown|yes|no|may|services|59|5|1|35|-1|0|1077|no
no|secondary|unknown|married|unknown|yes|no|may|technician|253|5|1|38|-1|0|416|no
no|tertiary|unknown|married|unknown|yes|no|may|admin.|211|5|2|36|-1|0|146|no
no|primary|unknown|married|unknown|yes|no|may|retired|235|5|1|58|-1|0|167|no
no|unknown|unknown|divorced|unknown|yes|no|may|services|4384|5|1|40|-1|0|315|no
no|secondary|unknown|married|unknown|no|no|may|management|4080|5|1|54|-1|0|140|no
no|secondary|unknown|single|unknown|yes|yes|may|blue-collar|53|5|1|34|-1|0|346|no
no|tertiary|unknown|single|unknown|yes|no|may|management|0|5|1|31|-1|0|562|no
no|secondary|unknown|married|unknown|yes|no|may|retired|2127|5|1|51|-1|0|172|no
no|tertiary|unknown|married|unknown|yes|no|may|management|377|5|1|33|-1|0|217|no
no|tertiary|unknown|married|unknown|yes|no|may|management|73|5|2|55|-1|0|142|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|445|5|1|42|-1|0|67|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|243|5|1|34|-1|0|291|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|307|5|2|33|-1|0|309|no
no|secondary|unknown|married|unknown|yes|no|may|services|155|5|1|38|-1|0|248|no
no|tertiary|unknown|divorced|unknown|no|yes|may|technician|173|5|1|50|-1|0|98|no
no|tertiary|unknown|married|unknown|yes|no|may|management|400|5|1|43|-1|0|256|no
no|primary|unknown|divorced|unknown|yes|no|may|blue-collar|1428|5|2|61|-1|0|82|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|219|5|1|47|-1|0|577|no
no|tertiary|unknown|married|unknown|yes|no|may|self-employed|7|5|1|48|-1|0|286|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|575|5|1|44|-1|0|477|no
no|unknown|unknown|single|unknown|yes|no|may|student|298|5|2|35|-1|0|611|no
no|secondary|unknown|married|unknown|yes|no|may|services|0|5|1|35|-1|0|471|no
no|secondary|unknown|married|unknown|yes|no|may|services|5699|5|2|50|-1|0|381|no
no|tertiary|unknown|married|unknown|yes|yes|may|management|176|5|1|41|-1|0|42|no
no|tertiary|unknown|married|unknown|yes|no|may|management|517|5|1|41|-1|0|251|no
no|unknown|unknown|single|unknown|yes|no|may|services|257|5|1|39|-1|0|408|no
no|secondary|unknown|married|unknown|yes|no|may|retired|56|5|1|42|-1|0|215|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|-390|5|1|38|-1|0|287|no
no|secondary|unknown|married|unknown|yes|no|may|retired|330|5|2|53|-1|0|216|no
no|primary|unknown|divorced|unknown|no|no|may|housemaid|195|5|2|59|-1|0|366|no
no|secondary|unknown|married|unknown|yes|no|may|services|301|5|1|36|-1|0|210|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|-41|5|1|54|-1|0|288|no
no|tertiary|unknown|married|unknown|yes|no|may|technician|483|5|1|40|-1|0|168|no
no|unknown|unknown|married|unknown|no|no|may|blue-collar|28|5|2|47|-1|0|338|no
no|unknown|unknown|married|unknown|no|no|may|unemployed|13|5|3|53|-1|0|410|no
no|primary|unknown|married|unknown|no|no|may|housemaid|965|5|1|46|-1|0|177|no
no|tertiary|unknown|married|unknown|yes|yes|may|management|378|5|2|39|-1|0|127|no
no|secondary|unknown|married|unknown|yes|no|may|unemployed|219|5|1|40|-1|0|357|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|324|5|1|28|-1|0|175|no
no|secondary|unknown|divorced|unknown|yes|no|may|entrepreneur|-69|5|1|35|-1|0|300|no
no|secondary|unknown|married|unknown|no|yes|may|retired|0|5|1|55|-1|0|136|no
no|unknown|unknown|divorced|unknown|yes|no|may|technician|205|5|1|43|-1|0|1419|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|278|5|2|48|-1|0|125|no
no|unknown|unknown|married|unknown|yes|no|may|management|1065|5|3|58|-1|0|213|no
no|tertiary|unknown|single|unknown|yes|no|may|management|34|5|1|33|-1|0|27|no
no|unknown|unknown|married|unknown|no|no|may|blue-collar|1033|5|2|36|-1|0|238|no
no|secondary|unknown|divorced|unknown|yes|no|may|services|1467|5|1|53|-1|0|124|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|-12|5|1|47|-1|0|18|no
no|secondary|unknown|married|unknown|yes|no|may|services|388|5|2|31|-1|0|730|no
no|secondary|unknown|married|unknown|yes|no|may|entrepreneur|294|5|2|57|-1|0|746|no
no|unknown|unknown|married|unknown|no|no|may|blue-collar|1827|5|1|53|-1|0|121|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|627|5|1|55|-1|0|247|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|25|5|1|45|-1|0|40|no
no|secondary|unknown|divorced|unknown|yes|no|may|admin.|315|5|2|53|-1|0|181|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|0|5|1|37|-1|0|79|no
no|secondary|unknown|divorced|unknown|yes|no|may|admin.|66|5|1|44|-1|0|206|no
no|primary|unknown|divorced|unknown|yes|yes|may|blue-collar|-9|5|1|49|-1|0|389|no
no|secondary|unknown|married|unknown|yes|yes|may|technician|349|5|1|46|-1|0|127|no
no|unknown|unknown|married|unknown|yes|no|may|entrepreneur|100|5|1|43|-1|0|702|no
no|secondary|unknown|married|unknown|no|no|may|admin.|0|5|1|38|-1|0|151|no
no|secondary|unknown|married|unknown|yes|no|may|technician|434|5|1|43|-1|0|117|no
no|tertiary|unknown|married|unknown|yes|no|may|management|3237|5|3|49|-1|0|232|no
no|unknown|unknown|married|unknown|no|no|may|management|275|5|2|42|-1|0|408|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|0|5|2|22|-1|0|179|no
no|tertiary|unknown|married|unknown|yes|no|may|management|207|5|1|40|-1|0|39|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|483|5|1|39|-1|0|282|no
no|secondary|unknown|married|unknown|yes|no|may|services|2248|5|2|51|-1|0|714|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|428|5|1|49|-1|0|50|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|0|5|1|53|-1|0|181|no
no|secondary|unknown|single|unknown|yes|no|may|services|0|5|1|34|-1|0|142|no
no|secondary|unknown|divorced|unknown|yes|no|may|technician|140|5|1|33|-1|0|227|no
no|tertiary|unknown|single|unknown|yes|no|may|management|297|5|1|50|-1|0|119|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|279|5|1|39|-1|0|361|no
no|secondary|unknown|divorced|unknown|yes|no|may|entrepreneur|901|5|3|59|-1|0|73|no
no|secondary|unknown|single|unknown|yes|no|may|technician|2573|5|2|30|-1|0|67|no
no|secondary|unknown|married|unknown|yes|yes|may|services|143|5|1|36|-1|0|350|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|475|5|2|40|-1|0|332|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|70|5|2|53|-1|0|611|no
no|tertiary|unknown|single|unknown|yes|no|may|management|318|5|2|34|-1|0|113|no
no|secondary|unknown|married|unknown|yes|no|may|technician|275|5|1|37|-1|0|132|no
no|tertiary|unknown|divorced|unknown|yes|no|may|management|742|5|3|42|-1|0|58|no
no|primary|unknown|married|unknown|yes|no|may|entrepreneur|236|5|1|41|-1|0|151|no
no|tertiary|unknown|single|unknown|yes|no|may|student|25|5|2|30|-1|0|89|no
no|tertiary|unknown|single|unknown|yes|no|may|management|600|5|1|37|-1|0|152|no
no|secondary|unknown|divorced|unknown|yes|no|may|admin.|-349|5|2|39|-1|0|611|no
no|primary|unknown|married|unknown|yes|yes|may|blue-collar|183|5|2|41|-1|0|110|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|0|5|1|40|-1|0|463|no
no|tertiary|unknown|single|unknown|yes|yes|may|management|0|5|2|42|-1|0|562|yes
no|primary|unknown|divorced|unknown|yes|no|may|blue-collar|0|5|1|40|-1|0|962|no
no|secondary|unknown|married|unknown|yes|no|may|technician|1078|5|4|57|-1|0|10|no
no|secondary|unknown|divorced|unknown|no|no|may|entrepreneur|155|5|3|56|-1|0|118|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|190|5|2|37|-1|0|92|no
no|secondary|unknown|married|unknown|yes|no|may|retired|319|5|3|59|-1|0|143|no
no|secondary|unknown|divorced|unknown|yes|no|may|services|-185|5|3|39|-1|0|189|no
no|secondary|unknown|married|unknown|no|no|may|services|47|5|2|49|-1|0|234|no
no|secondary|unknown|single|unknown|yes|no|may|services|570|5|2|38|-1|0|75|no
no|tertiary|unknown|married|unknown|no|no|may|self-employed|19|5|2|36|-1|0|189|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|61|5|3|50|-1|0|621|no
no|secondary|unknown|married|unknown|yes|yes|may|admin.|-62|5|2|41|-1|0|55|no
no|tertiary|unknown|married|unknown|no|no|may|technician|258|5|4|54|-1|0|310|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|76|5|2|58|-1|0|156|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|0|5|2|30|-1|0|5|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|352|5|2|33|-1|0|225|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|368|5|2|47|-1|0|125|no
no|tertiary|unknown|single|unknown|yes|no|may|technician|339|5|3|50|-1|0|2|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|1331|5|2|32|-1|0|286|no
no|secondary|unknown|married|unknown|yes|no|may|self-employed|672|5|2|40|-1|0|164|no
no|tertiary|unknown|married|unknown|yes|no|may|management|58|5|2|37|-1|0|98|no
no|unknown|unknown|single|unknown|yes|no|may|technician|447|5|2|54|-1|0|742|no
no|secondary|unknown|single|unknown|yes|no|may|student|423|5|3|24|-1|0|226|no
no|tertiary|unknown|married|unknown|no|no|may|management|0|5|2|54|-1|0|120|no
no|secondary|unknown|married|unknown|yes|no|may|technician|19|5|4|34|-1|0|362|no
no|primary|unknown|divorced|unknown|yes|no|may|technician|13|5|2|56|-1|0|357|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|3|5|2|31|-1|0|200|no
no|secondary|unknown|single|unknown|yes|no|may|student|82|5|2|24|-1|0|204|no
no|primary|unknown|divorced|unknown|yes|no|may|blue-collar|28|5|3|42|-1|0|126|no
no|secondary|unknown|married|unknown|yes|no|may|technician|792|5|2|57|-1|0|65|no
no|unknown|unknown|married|unknown|yes|no|may|blue-collar|408|5|2|42|-1|0|107|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|531|5|2|51|-1|0|267|no
no|secondary|unknown|married|unknown|yes|no|may|retired|211|5|2|57|-1|0|248|no
no|secondary|unknown|single|unknown|yes|no|may|services|62|5|2|36|-1|0|215|no
no|unknown|unknown|married|unknown|yes|no|may|services|257|5|2|53|-1|0|209|no
no|secondary|unknown|married|unknown|yes|no|may|technician|1234|5|2|50|-1|0|205|no
no|tertiary|unknown|married|unknown|yes|no|may|management|313|5|2|54|-1|0|83|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|89|5|3|55|-1|0|106|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|129|5|2|44|-1|0|189|no
no|unknown|unknown|married|unknown|yes|no|may|management|0|5|2|43|-1|0|105|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|353|5|2|56|-1|0|106|no
no|unknown|unknown|married|unknown|yes|no|may|technician|851|5|2|54|-1|0|108|no
